timestamp,model_label,model_id,task_id,task_type,lang,run,provider,prompt_tokens,completion_tokens,reasoning_tokens,cached_tokens,total_tokens,cost_usd,latency_s,finish_reason,turns,tool_used,success,answer_excerpt,raw_file
2026-08-20T10:38:28,Claude Fable 5,anthropic/claude-fable-5,docqa_en,docqa,en,1,Google,707,31,0,0,738,0.00862,4.2,stop,1,False,True,"1. SAR 84.6 million 2. 94.2% 3. May 14, 2026",results/raw/anthropic_claude-fable-5__docqa_en__run1.json
2026-08-20T10:38:31,Claude Fable 5,anthropic/claude-fable-5,docqa_en,docqa,en,2,Google,707,31,0,0,738,0.00862,3.0,stop,1,False,True,"1. SAR 84.6 million 2. 94.2% 3. May 14, 2026",results/raw/anthropic_claude-fable-5__docqa_en__run2.json
2026-08-20T10:38:34,Claude Fable 5,anthropic/claude-fable-5,docqa_en,docqa,en,3,Google,707,31,0,0,738,0.00862,3.6,stop,1,False,True,"1. SAR 84.6 million 2. 94.2% 3. May 14, 2026",results/raw/anthropic_claude-fable-5__docqa_en__run3.json
2026-08-20T10:38:37,Claude Fable 5,anthropic/claude-fable-5,docqa_ar,docqa,ar,1,Google,1237,1,0,0,1238,0.0,2.5,content_filter,1,False,False,,results/raw/anthropic_claude-fable-5__docqa_ar__run1.json
2026-08-20T10:38:41,Claude Fable 5,anthropic/claude-fable-5,docqa_ar,docqa,ar,2,Google,1237,1,0,0,1238,0.0,4.3,content_filter,1,False,False,,results/raw/anthropic_claude-fable-5__docqa_ar__run2.json
2026-08-20T10:38:46,Claude Fable 5,anthropic/claude-fable-5,docqa_ar,docqa,ar,3,Google,1237,1,0,0,1238,0.0,4.8,content_filter,1,False,False,,results/raw/anthropic_claude-fable-5__docqa_ar__run3.json
2026-08-20T10:38:50,Claude Fable 5,anthropic/claude-fable-5,extract_en,extract,en,1,Google,440,65,9,0,505,0.00765,3.6,content_filter,1,False,False,"{""invoice_number"": ""INV-2026-0847"", ""invoice_date"": ""3 July 2026"", ""vendor"": ""DAR AL-TEQ",results/raw/anthropic_claude-fable-5__extract_en__run1.json
2026-08-20T10:38:54,Claude Fable 5,anthropic/claude-fable-5,extract_en,extract,en,2,Google,440,11,4,0,451,0.00495,4.0,content_filter,1,False,False,,results/raw/anthropic_claude-fable-5__extract_en__run2.json
2026-08-20T10:38:58,Claude Fable 5,anthropic/claude-fable-5,extract_en,extract,en,3,Google,440,117,9,0,557,0.01025,4.0,content_filter,1,False,False,"ce_number"": ""INV-2026-0847"",   ""invoice_date"": ""3 July 2026"",   ""vendor"": ""DAR AL-TEQNIA TRADING CO."",   ""total_incl_vat"": 35857.00,   ""currency"": ""SAR"",   ""num",results/raw/anthropic_claude-fable-5__extract_en__run3.json
2026-08-20T10:39:01,Claude Fable 5,anthropic/claude-fable-5,extract_ar,extract,ar,1,Google,536,116,9,0,652,0.01116,3.2,stop,1,False,True,"6-0847"",   ""invoice_date"": ""2026-07-03"",   ""vendor"": ""شركة دار التقنية التجارية"",   ""total_incl_vat"": 35857.00,   ""currency"": ""SAR"",   ""num_line_items"": 3 } ```",results/raw/anthropic_claude-fable-5__extract_ar__run1.json
2026-08-20T10:39:05,Claude Fable 5,anthropic/claude-fable-5,extract_ar,extract,ar,2,Google,536,89,0,0,625,0.00981,4.2,stop,1,False,True,"mber"": ""INV-2026-0847"", ""invoice_date"": ""2026-07-03"", ""vendor"": ""شركة دار التقنية التجارية"", ""total_incl_vat"": 35857.00, ""currency"": ""SAR"", ""num_line_items"": 3}",results/raw/anthropic_claude-fable-5__extract_ar__run2.json
2026-08-20T10:39:09,Claude Fable 5,anthropic/claude-fable-5,extract_ar,extract,ar,3,Google,536,89,0,0,625,0.00981,3.7,stop,1,False,True,"mber"": ""INV-2026-0847"", ""invoice_date"": ""2026-07-03"", ""vendor"": ""شركة دار التقنية التجارية"", ""total_incl_vat"": 35857.00, ""currency"": ""SAR"", ""num_line_items"": 3}",results/raw/anthropic_claude-fable-5__extract_ar__run3.json
